smiles,TotalEnergy
O=C(NC1CCC=2C=CC=CC2NC1=O)N3CC=4C=C(F)C(F)=CC4C3,-102.3211
O=C1CN(CC(=O)N2CCO[C@@]3(CCN(C(=O)c4ccc(O)nc4)C3)C2)C(=O)N1,-125.4242
Cc1nccc(C(=O)N2CCO[C@]3(CCN(C(=O)CN(CCO)CCO)C3)C2)n1,-123.5878
COC(=O)CCN1CC[C@H](NC(=O)c2cnc3c(c2)c(=O)n(C)c(=O)n3C)C1=O,-109.966
COC[C@H](NC(=O)C(=O)NCCS(=O)(=O)N1CCSCC1)[C@@H]1CCCO1,-114.653
CCCN(CCC)S(=O)(=O)N1CCN(CC1)C(=O)C(C)N2C(=O)CCC2=O,-80.8611
N=C(N)NCC(=O)N1CCO[C@]2(CCN(C(=O)[C@H]3CC[C@H]4CCC(=O)N4C3)C2)C1,-115.7507
Nc1n[nH]c(CCC(=O)N[C@@H]2[C@H]3COC[C@@H]2CN(C(=O)CN2C(=O)C=CC2=O)C3)n1,-114.1956
C[C@H](C(=O)Nc1nc2c(s1)C[C@H](NC(=O)CC[C@@H](N)C(N)=O)CC2)n1cnnn1,-126.8489
CCOC(=O)N[C@H](O)C(=O)NC[C@@]12CCCO[C@@H]1CCN(C(=O)CNC(N)=O)C2,-128.5819
CN1CCCC[C@H]1C(=O)N1CCO[C@@]2(COCCN(C(=O)CN3CCNC3=N)C2)C1,-94.1258
Nc1n[nH]c(CCC(=O)N2CC[C@@]3(C2)CN(C(=O)c2cc(CO)on2)CCO3)n1,-114.2059
COc1cccc(C(=O)NNC(=O)CCn2cnc3c2c(=O)n(C)c(=O)n3C)c1O,-103.8454
O=C([C@H](O)N1CCOCC1)N1CC2(CCCN2C(=O)c2nc3ncccn3n2)C1,-105.5821
CNC(=O)C(=O)NCC(=O)NC(C1=CC=CS1)C=2C=CC(F)=CC2,-95.0838
CC(=O)NCC(=O)N1CCC(OC2CCN(C(=O)C[C@@H]3NC(=O)NC3=O)CC2)CC1,-113.1493
C[C@@H](Cn1cncn1)C(=O)N1CCOC[C@@]2(C1)CN(C(=O)[C@@H]1C[C@H](O)CN1)CCO2,-86.5986
COC(=O)[C@@H]1CCCN(C(=O)CNS(=O)(=O)c2cn(C)cn2)[C@H]1C(=O)OC,-113.8266
Cn1c(=O)c2nc(COC(=O)CN3C(=O)[C@H]4[C@H]5CC[C@@H](O5)[C@@H]4C3=O)[nH]c2n(C)c1=O,-93.799
CC=1N=CC=C(N1)N2CCN(CC3=NOC(=N3)C4CCCCC4)CC2,-116.0189
CCS(=O)(=O)NCCS(=O)(=O)NC1C[C@@H]2CC[C@H](C1)N2CC(=O)N(C)C,-90.7786
CNC(=O)[C@H]1CCCN1C(=O)CNC(=O)CCNS(=O)(=O)c1cn(C)c(C)n1,-118.4248
CCNC(=O)N[C@@H](C)C(=O)N1CCO[C@]2(COCCN(C(=O)Cn3cnnn3)C2)C1,-119.3845
C[C@@H](CN)C(=O)N1CCO[C@@]2(COCCN(C(=O)CN(CCO)CCO)C2)C1,-112.2549
