smiles,TotalEnergy
COC=1C=CC2=C(C1)CCN2C(=O)CN3C=C(C(N)=O)C=4C=CC=CC43,-98.2381
CNC(=O)[C@H]1CCCN1C(=O)CNC(=O)Cn1ccc2c(=O)n(C)c(=O)n(C)c21,-96.5609
CC(=O)N[C@H](C)C(=O)N1C[C@@H]2COC[C@H](C1)[C@@H]2NC(=O)c1nc2ncccn2n1,-98.4835
CCC1CN(CC2(CCOC2)O1)C(=O)C3CC(=O)N(C3)C=4C=C(F)C=C(F)C4,-103.0995
"COC(=O)C=1C=C(C=NC1C)S(=O)(=O)N2CCC[C@H]3C[C@]32CO |&1:18,20,r|",-93.5363
O=C(N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)[C@@H]1C[C@H](O)CN1)C2)c1cnc(OCF)cn1,-117.1704
O=C1C[C@H](C(=O)N2CCN(CCn3cncn3)CC2)CN1CCN1CCOCC1,-106.1437
BrC=1C=NC=C(C1)C2=CN(CC3=NC=C(O3)C4CC4)N=N2,-101.792
O=C(COCCO)N1CCOC[C@@]2(C1)CN(C(=O)CN1C(=O)C=CC1=O)CCO2,-128.9874
COCCC(=O)N1CCOC[C@]2(C1)CN(C(=O)CN(CCO)CCO)CCO2,-88.9354
CC(C)(NCCC#N)C(=O)N1CCO[C@@]2(CCN(C(=O)[C@@H](O)N3CCOCC3)C2)C1,-105.2393
CN(C)C(=O)Cn1nc2n(c1=O)CCN(C(=O)c1cn(Cc3ccccn3)nn1)C2,-105.5747
CC(=O)N[C@H]1[C@@H](O[C@@H]2O[C@H](CC(O)[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@H](O)[C@H](O)[C@H]2NC(=O)/C=C/CC(C)C)O[C@H](CO)[C@@H](N)[C@@H]1O,-141.5042
COC=1C=C(C=C2OCOC12)CNC(C)(C)CO,-86.5707
O=C(N[C@H]1CCN2CCCC[C@@H]12)C(=O)N1CCN(C(=O)C(=O)N2CCOCC2)CC1,-95.4074
C[C@@H](CNC(=O)C(=O)NC[C@@H]1CCCCN1S(=O)(=O)N(C)C)S(N)(=O)=O,-104.984
CN1CCN(CC(=O)N2CCOC[C@@]3(C2)CN(C(=O)[C@@H]2CCCN2C)CCO3)CC1,-83.7859
Cc1nn(C)c(C)c1CC(=O)N1C[C@@H]2COC[C@H](C1)[C@@H]2NC(=O)CC[C@H](N)C(N)=O,-100.2068
CS(=O)(=O)N1CCCN(S(=O)(=O)N2CCN(S(C)(=O)=O)CC2)CC1,-76.4291
CC(C)(C)OC(=O)N[C@H](O)C(=O)N1CCCC12CN(C(=O)CC[C@@H](N)C(N)=O)C2,-115.3407
