smiles,TotalEnergy
C=C[C@@H]1[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@@H]1CC(=O)O,-125.8509
O=C1NC(=O)N2CCN(C(=O)NCCC(=O)N3CCN(c4ncccn4)CC3)C[C@@H]12,-127.1683
Cn1cc(CC(=O)N2CCOC[C@@]3(C2)CN(C(=O)CS(C)(=O)=O)CCO3)cn1,-110.2259
CC(C(=O)NC=1C=CC=2CCCC=CC2C1)N3C=NC4=C(N)N=CN=C43,-124.7718
O=C(NC[C@H]1CCCCN1)C=2SC=CC2S(=O)(=O)N3CCC4=CC=CC=C43,-107.0605
O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)c3cc(=O)n4[nH]nnc4n3)C[C@@H]21)c1ccon1,-113.1025
O=C(c1cnc(O)nc1O)N1CCOC[C@]2(C1)CN(C(=O)[C@@H]1CCOC1)CCO2,-111.2697
Cn1nc(C(=O)N2CCOC[C@]3(CN(C(=O)C4=NNC(=O)C4)CCO3)C2)cc1O,-116.9515
O=C1C[C@@H](C(=O)N2CCOC[C@@]3(CN(C(=O)c4ccc(O)nn4)CCO3)C2)CCN1,-99.359
C[C@@H](CN)C(=O)N1CCOC[C@@]2(CN(C(=O)CN(CCO)CCO)CCO2)C1,-89.1713
O=C(C1CCC2=NN=CN2C1)N3CCO[C@H](C3)C=4C=CC(Cl)=CC4,-90.3211
O=C1C[C@@H](C(=O)N2CC[C@@]3(CN(C(=O)c4cnc(O)nc4O)CCO3)C2)CCN1,-106.2102
O=C(NS(=O)(=O)C1C[C@@H]2CC[C@H]1C2)C3=CN=C4C=CC=CC4=C3,-100.5966
CCOC(=O)N[C@H](O)C(=O)N1CC[C@]2(CN(C(=O)COCCOC)CCO2)C1,-107.9119
O=C1CC[C@H](C(=O)N2CCO[C@@]3(COCCN(C(=O)c4cc(O)no4)C3)C2)CN1,-119.3744
CC(=O)NC=1C=CC(=CC1)CCNCC=2C=C(F)C=CC2F,-93.8413
CCS(=O)(=O)CC(=O)N1CC[C@H]2[C@@H]1CCN2C(=O)CN1CCS(=O)(=O)CC1,-105.6937
CC1=C(C=NN1C)[C@H]2OCC[C@@H]2C(=O)NC=3C=CN=CC3C,-111.1758
NS(=O)(=O)c1ccc(N2CCOCC2)c(C(=O)OCC(=O)N2CCNC2=O)c1,-131.3715
CC(=O)N[C@H](Cc1cnc[nH]1)C(=O)N1CC[C@@]2(CN(C(=O)[C@@H]3C=CCN3)CCO2)C1,-109.3409
C[C@@H]1COC[C@@](CO)(CNS(=O)(=O)C=2C=CC(F)=C3OC=CC23)N1C,-100.8325
CN1CCN(CC(=O)N2CCO[C@@]3(COCCN(C(=O)c4cncnc4)C3)C2)CC1,-110.6435
C[C@@H](CN1CCCCC1)NC(=O)C(=O)N1CCN(CC(=O)N2CCOCC2)CC1,-106.0013
Cc1nn(C)c(C(=O)N2C[C@@H]3COC[C@H](C2)[C@@H]3NC(=O)CN2CC(=O)NC2=O)c1F,-110.84
O=C(C=1C=CC=CC1C2CCC2)N3CCOC(C3)C=4N=CON4,-90.8962
NC(=O)[C@H](N)CCC(=O)N1CC[C@@H](CNC(=O)[C@@H]2C[C@H](O)CN2)[C@@H]1c1cccnc1,-107.6649
"FC=1C=CC2=C(C1)NC3=NC=NC(N[C@H]4CCC[C@H]4N5C=CC=N5)=C32 |&1:14,18,r|",-116.3968
CC(=O)N[C@H](C)C(=O)N1CCO[C@]2(COCCN(C(=O)CC[C@@H](N)C(N)=O)C2)C1,-107.7005
C[C@H](C(=O)N1CCOCC1)N1CCN(CCNS(=O)(=O)c2cnn(C)c2)CC1,-106.4975
CNS(=O)(=O)C[C@@H]1CCCN1C(=O)C(=O)NC[C@H]1CCCN1S(C)(=O)=O,-107.4928
Cn1nc(C(=O)N2CCN([C@@H]3CS(=O)(=O)C[C@@H]3O)CC2)c2ccccc2c1=O,-100.6415
CC(=O)N[C@@H](C)C(=O)N1CCO[C@@]2(COCCN(C(=O)CSC(=N)N)C2)C1,-80.279
CN(C[C@H](O)CN1CCOCC1)C(=O)C1=NN([C@@H]2CCS(=O)(=O)C2)C(=O)CC1,-100.7134
O=C(CO)N1CCN(CC2CCOC=3C=CC=CC32)CC1,-94.4762
Cc1nnc(CC(=O)N2CCO[C@@]3(COCCN(C(=O)[C@H](C)n4cnnn4)C3)C2)o1,-115.2071
O=C(NCC1=NN=C(O1)C2CC2)C3=NOC4=C3CCC=5C=CC=CC45,-131.4488
CN1C(=O)CC[C@H]1C(=O)N1CCO[C@@]2(COCCN(C(=O)CCn3cncn3)C2)C1,-108.8614
C[C@H](C(=O)N1CCO[C@]2(CCN(C(=O)CN(CCO)CCO)C2)C1)N1C[C@H]2C[C@H]2C1,-101.7104
CC1CN(C(=O)C=2C=CC=C(C2)S(=O)(=O)N3CCC=4C=CC=CC4C3)C=5C=CC=CC5O1,-95.5072
"CCCN1C=C(C=N1)NC(=O)N[C@@H]2CCO[C@H]2C=3C(C)=NN(C)C3C |&1:12,16,r|",-106.4056
CNC(=O)C(C)(C)Cn1c([C@@H](C)NS(C)(=O)=O)nnc1N1CCNC(=O)CC1,-107.1645
O=C(CNC(=O)Cn1cncn1)NCC1(O)CN(C(=O)[C@@H]2C[C@@H]3O[C@H]2[C@H]2C[C@@H]32)C1,-119.1618
C[C@](O)(C(=O)N1CC[C@H]2CO[C@@H](CNC(=O)[C@@H](N)CCC(N)=O)[C@H]2C1)C(F)(F)F,-116.6909
