smiles,TotalEnergy
CC=1OC(=NC1C(=O)NC2(C)CC=CCC2)C=3C=NN(C)C3,-105.9017
CC(=O)NCC(=O)N1CCC[C@@H]1C(=O)OCc1c(N(C)C)n(C)c(=O)n(C)c1=O,-113.7387
CN(CC(=O)N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)[C@H](O)c1ccccc1)C2)C(=O)C(=O)O,-112.7572
CN1N=C(CN2C=C(N=N2)C3=NC(=CS3)C4CC4)NC1=O,-106.6674
O=S(=O)(NCC1(CC1)C=2C=CC=CC2)C=3C=CC(F)=C(F)C3F,-109.9288
"CCN1N=CC(C(=O)N[C@@H]2CC(=O)N(C)[C@H]2C3=CC=CN=C3)=C1C |&1:9,15,r|",-107.0902
CCCC1=C(C=NN1C=2C=CC=C(C)C2)NC(=O)NCC=3NN=CC3Br,-140.0825
COC=1C=CC(OC)=C(C1)C(=O)NC=2N=CC=NC2C3CC3,-93.5318
Cn1cc(S(=O)(=O)NCCC(=O)N2CCN(c3ncccn3)CC2)cc1C(N)=O,-98.7107
CCOC(=O)[C@@](C)(O)CNC(=O)c1ccc(S(=O)(=O)N2CCNC(=O)C2)cc1,-104.456
COC(=O)c1ccsc1N1CC[C@H](NC(=O)C(=O)N2CCO[C@H](C(N)=O)C2)C1=O,-106.3884
O=C(NC1CCN(CC(F)F)CC1)C=2C=CC=C3C=NC=CC23,-96.0159
NC(=O)[C@@H](N)CCC(=O)N1CCO[C@@]2(COCCN(C(=O)c3ccc(F)cn3)C2)C1,-110.9041
CCNC(=O)N[C@H](C)C(=O)N1CC[C@@]2(CN(C(=O)CN3CCNC3=N)CCO2)C1,-108.189
O=C1C[C@H](C(=O)N2CCOC[C@]3(CN(C(=O)CCn4ccnn4)CCO3)C2)CN1,-120.6075
COC=1C=CC(=CN1)C(=O)NC=2C=CC(F)=CC2F,-108.1826
O=C(NC=1C=C(NN1)C2CCOCC2)C=3C=CC(=CC3)S(=O)(=O)C4CCC4,-109.5595
Cc1nc2cc(O)nn2c(C)c1CC(=O)OCC(=O)c1c(N)n(C)c(=O)n(C)c1=O,-166.8588
COCC(=O)N1CCN(c2nnc([C@H]3CCC(=O)N3)n2Cc2cnnn2C)CC1,-107.3972
O=C(NC=1C=C(C=CN1)C(=O)N2CC=3C=CC=C(O)C3C2)C4CC4,-117.8299
CNC(=S)NCCC(=O)N1CC[C@H]2CO[C@@H](CNC(=O)c3ncnn3C)[C@H]2C1,-86.0392
CC1=NOC(C)=C1S(=O)(=O)NC=2C=CC(=CC2)C(C)(C)C(=O)O,-109.2485
CCOC(=O)[C@H]1CCCN(S(=O)(=O)N2CCN(S(=O)(=O)N(C)C)CC2)C1,-107.6746
Cc1cc(CC(=O)N2CCO[C@@]3(COCCN(C(=O)CNC(N)=O)C3)C2)nn1C,-131.4432
