smiles,TotalEnergy
C[C@@H](C(=O)N1CCOC[C@@]2(CN(C(=O)CN3CCNC3=N)CCO2)C1)n1ccnc1,-105.2754
C[C@]1(C(N)=O)CCN(C(=O)C(=O)NCCC(=O)N2CCN(c3ccccn3)CC2)C1,-104.3296
CS(=O)(=O)c1ccc(C(=O)N2CC3(CCCN3C(=O)[C@@H](N)CCC(N)=O)C2)nc1,-110.1968
CN1CCN(CC(=O)N2CCOC[C@]3(C2)CN(C(=O)c2ccn(C)n2)CCO3)CC1,-107.3479
CC1=CC=C(O1)C2=NC(C)=C(S2)C(=O)N3C4C=CCC3CC4,-84.4123
C[C@H](NS(=O)(=O)c1ccc(C(N)=O)cc1)C(=O)N[C@@H](C)C(=O)N1CCOCC1,-121.9388
O=C(c1cc(O)nc(O)n1)N1CCOC[C@]2(C1)CN(C(=O)c1cnc(O)[nH]1)CCO2,-115.8556
Cc1cn(CC(=O)N2CCO[C@@]3(CCN(C(=O)C4=NNC(=O)C4)C3)C2)c(=O)nc1O,-108.0403
CC(C)CN(CC1=CN=NN1C2CCCNC2)CC3CCN(C)CC3,-93.3577
O=C(NC1CCN2CCCCC12)C=3C=CC(Cl)=CC3,-79.6742
CC[C@@H](NC(N)=O)C(=O)N1CC[C@H]2CO[C@@H](CNC(=O)CNC(=O)N(C)C)[C@H]2C1,-94.4214
O=C(NC(C=1C=CC=C(Cl)C1)C2CCCCC2)C=3C=CC(=O)NN3,-108.7811
COC=1C=CC=CC1C=2C=CC=C(C2)NC(=O)NC3CCC=4C=CC(O)=CC43,-93.7467
O=C1CC[C@@H](C(=O)N2CSC[C@@H]2C(=O)N2CC[C@H]3[C@@H]2CCN3C(=O)C(O)O)N1,-110.3637
COCCN1CCN(C(=O)C(=O)Nc2cc(F)cc(S(N)(=O)=O)c2)CC1=O,-113.1062
O=C(NCC1(O)CCOCC1)C2(O)CCC=3C=CC=CC3C2,-103.7374
CNC(=O)CC(=O)N1CCC2(CCCN(C(=O)c3cc(=O)n4[nH]nnc4n3)C2)CC1,-112.8477
CCCOC=1C=CC=NC1C(=O)N2CC=3C=CC=CC3C(C2)C(=O)O,-124.68
NC(=O)CC[C@H](N)C(=O)NC[C@H]1CCN(C(=O)[C@H]2CCC(=O)N2)[C@@H]1c1cccnc1,-123.8405
CC1=NN(C)C(NC(=O)CCN2C=NC3=C2C(=O)N(C)C(=O)N3C)=C1C,-97.2411
CC=1C=C(F)C=CC1[C@H](C)N2C=C(N=N2)C3COCCN3,-107.8077
Cn1cc(S(N)(=O)=O)cc1C(=O)OCCCn1c(=O)c2c(ncn2C)n(C)c1=O,-104.9059
COC[C@@H](NC(C)=O)C(=O)N1CCCC12CN(C(=O)c1cc(=O)n3[nH]nnc3n1)C2,-123.8397
