,smiles,qed,SPS,MolWt,MaxPartialCharge,MinPartialCharge,TPSA,MolLogP,MolMR
0,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2C)=C1,0.12545898269977213,10.529411764705882,480.5500000000003,0.27610854328793916,-0.30512798971822735,129.88000000000002,5.307700000000006,129.18280000000004
1,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2CCCN)=C1,0.1055399442919044,10.64864864864865,523.6190000000005,0.2761085432879489,-0.330405552876164,155.90000000000003,5.119500000000005,141.87319999999994
2,ClC1=CC=C(NC(C2C(OC(C=C(O)C(CCCCCC)=C3)C3=C2)=[NH2+])=O)C=C1,0.6084331908555289,21.071428571428573,401.91400000000016,0.3503515020413108,-0.5078538321336052,84.15,3.729800000000001,111.01390000000005
3,OC1=CC=CC(N2C(C(C=CC(C(C3=CC=C4C(C(N(C5=CC=CC(O)=C5)C4=O)=O)=C3)=O)=C6)=C6C2=O)=O)=C1,0.3178901929732904,14.210526315789474,504.4540000000003,0.2656691166889717,-0.5078857745226647,132.29,3.9300000000000024,134.81009999999995
4,O=C(C1=CC=C(NS(C2=CC=C(NC(N3)=O)C3=C2)(=O)=O)C=C1)NCCCSC4=CC=CC=C4,0.2144823007889059,11.393939393939394,482.58700000000016,0.32330754956571817,-0.3520091213158509,123.91999999999999,3.5692000000000013,130.2861
5,CCSC1=NN=C(NC(C2=C(N)C3=C(N=C(N)C(C#C)=C3)S2)=O)S1,0.36358362917917136,10.666666666666666,376.4920000000001,0.2692823186827972,-0.3968407414161494,119.81,2.6578,100.64000000000001
6,CCC1=NN=C(NC(CSC2=C(C(N)=O)C3=C(C(O)=CC(N3)=O)S2)=O)S1,0.44905662795351353,10.961538461538462,411.4900000000001,0.25235599816777365,-0.5061808213727336,151.06,1.5388,101.26910000000004
7,CCCCCCOC1=CC=C(OS(=O)(C2=CC(S(OC(C=C3)=CC=C3OCCCCCC)(=O)=O)=C(C=CC=C45)C4=C2NC5=O)=O)C=C1,0.08226399100541991,12.595744680851064,681.8290000000003,0.3408728443429406,-0.49359705231945133,134.3,7.859100000000009,179.68679999999952
