Ligand SMILES,IC50 (nM)
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)Nc1cccc(F)c1)C(N)=O)n1ccc(=O)[nH]c1=O,18.1
C[C@H](N)C(=O)N(C)[C@@H](C)[C@H](NC(=O)[C@H](C)NC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O)C(=O)N\C=C1\C[C@@H](O)[C@@H](O1)n1ccc(=O)[nH]c1=O,22.0
C[C@H](NC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O)C(=O)N[C@@H]([C@H](C)N(C)C(=O)[C@H](Cc1cccc(O)c1)NC(=O)CN)C(=O)N\C=C1/O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O,22.0
C[C@@H](NC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O)C(=O)N[C@@H]([C@H](C)N(C)C(=O)[C@@H](N)CN)C(=O)N\C=C1\C[C@@H](O)[C@@H](O1)n1ccc(=O)[nH]c1=O,22.0
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)Nc1cccc(F)c1F)C(N)=O)n1ccc(=O)[nH]c1=O,22.8
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)NCCc1cccs1)C(N)=O)n1ccc(=O)[nH]c1=O,22.9
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)Nc1ccc(C)cc1)C(N)=O)n1ccc(=O)[nH]c1=O,23.7
CCCCCCCCCCCCCCCC(=O)N[C@H]1CCN[C@@H](C1)[C@H](O[C@@H]1O[C@H](CN)[C@@H](O)[C@H]1O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O,24.0
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)Nc1nc(cs1)C(C)(C)C)C(N)=O)n1ccc(=O)[nH]c1=O,25.1
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)Nc1ccc(F)cc1F)C(N)=O)n1ccc(=O)[nH]c1=O,26.3
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@@H]1OC(=C[C@@H](O)[C@H]1O)C(=O)OC)C(N)=O)n1ccc(=O)[nH]c1=O,27.0
