,SMILES
70,O=C(NCC1=NC2=CC=CC=C2S1)NC3CCC(O)CC3
71,COC=1C=CC(=CC1)CNC2CCCN(C2)C3=NC=CNC3=O
72,CN1CCN(CC1)C2(CNC(=O)NCC=3C=CNN3)CCCCCC2
73,CCN1C=C(C=N1)NC(=O)NCC2CCN(CC)C2
74,CC(NC(=O)NCC1(CC1)C=2C=CC(F)=CC2)C3=NN=CN3C
75,CC=1C=CC=CC1C2CCN(C2)C(=O)C3CC(=O)N(C)C3
76,CC(C)C(=O)NC=1C=CC(=CC1)CNC(=O)NCCC=2C=CC=CN2
77,CN1C(C(=O)N2CCNC(C2)C=3C=NC=CC3)=C(Cl)C=4C=CC=CC41
78,CCN1C=C(C=N1)NC(=O)NCC=2C=CC(OC)=C(O)C2
79,CN(C)S(=O)(=O)N1CCCCC1C=2C=CC(=CC2)C(F)(F)F
80,O=C(NC=1C=CC=C(C1)CNC(=O)N2CCN(C(=O)C2)C3CC3)C4CCCC4
81,CC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC=3CCCCC3C2
82,CC=1C=CC(=CC1F)CNC(=O)CN2CCCC(C2)N3CCNC3=O
83,O=C(CCN1CCCN(CC1)C2=NC=CS2)NC=3C=CC=CC3
84,CC(=O)N1CCN(CCC(=O)NC=2C=CC=CC2F)CC1
85,COC(=O)C=1C=CC=C(N1)C(=O)N(CCC(C)C)C2CC2
86,O=C(CN(C1CC1)C2CCC3=CC=CC=C32)N4CCNC(=O)C4
87,CCOC=1C=CC=CC1NC(=O)C(C)N2CCC(CN(C)C)CC2
88,CCNC(=O)CCC(=O)N(C(C)C1=CC=CO1)C2CC2
89,CC1=CC(C(=O)NC2CCC(=O)NC2C)=C(C)N1CC=3C=CC=CC3
90,CN1C=C(C=N1)NC(=O)NCC2CCC3=NC=CN3C2
91,O=C(O)C=1C=CC(=CC1)S(=O)(=O)NC=2C=CC(Br)=C3C=CC=NC23
92,O=C(COC=1C=CC=2CCCC2C1)N3CCCC(C3)N4C=CC=N4
93,CC(C)NC1=NN=C(SCC2=NN=C(O2)C=3C=CC=CC3)S1
94,N#CC=1C=CC=C(C1)C(=O)N2CCC(CC2)C(=O)N3CCCC3
95,CC=1C=CC(=CC1)C2=NN=C(SC3CCOC3=O)N2C
96,COC(=O)C1=CC=C(CSC2=NN=C(NC3=CC=CC(=C3)OC)S2)O1
97,Cl.CCOC=1C=CC(=CC1)CN(CC2=NC=CN2C)C3CC43CCNCC4
98,NS(=O)(=O)C=1C=CC=C(C1)NC(=O)COC(=O)C2CCCCC2
99,COC=1N=CC=CC1NC(=O)C2CCC(CC2)NC(=O)CC3CCCCC3
100,CCOC=1C=CC(=CC1)C(=O)OC(C)C(=O)NC=2C=CC=3OCCOC3C2
101,CC(C)C(C(=O)NC1CCCC(C)C1)N2CCCC2=O
102,CC(C)C1=NN(C=C1CNCC(O)CN(C)C)C=2C=CC=CC2
103,COC=1C=CC(=CC1OC)C2CCCN2C(=O)CCC=3C(C)=NC4=NC=NN4C3C
104,O=C(NC=1C=CC(F)=CC1)C=2C=CC=C(C2)N3C=NN=N3
105,CCC1=NC=2C=CC=CC2N1CC(=O)N3CCNC(=O)C3
106,O=C(NCC1CCOC1)C2=CC(=NO2)C=3C=CC=CC3
107,CC(NC(=O)NCC=1C=CC(F)=CC1)C(=O)N2CCCCC2C
108,CC1=NOC(C)=C1C(=O)NCC(C=2C=CC=CC2)N3CCOCC3
109,CC=1C=CC=C(C1)C2(CCCC2)C(=O)NCCN3CCN(C)CC3
110,COC=1C=CC(CN(C)C(=O)C=2C=CC(=CC2)CN3CCCC3=O)=C(C1)OC
111,CC(C(=O)NC=1C=CC=C(C1)C(F)(F)F)N2C=NC3=C2C(=O)N(C)C(=O)N3C
112,CC1CC(C)CN(C1)C(C)(C)CNC(=O)NCCN2CCCCC2
113,O=C(COC=1C=CC=CC1)NC2CCCC=3C=CC=CC32
114,CC(C(=O)NC=1C=CC=CC1Cl)N2CCN(CCC=3C=CC=CC3)CC2
115,COCC(=O)NC(CC(=O)OC)C=1C=CC(C)=CC1
116,CCCNC(=O)C1=CC=CC(=C1)CNCC2=CSC(CC)=N2
117,CCN1C(C)=NN=C1SCC(=O)NC=2C=C(C=CC2Cl)C(F)(F)F
118,CC=1C=CC(=CC1C(=O)N2CCCCC2CC=3C=CC=CC3)S(C)(=O)=O
119,CN(C1CCCCC1)S(=O)(=O)C=2C=CC(=CC2)C(=O)NC=3C=CNN3
120,COC=1C=C(C=C2OCOC12)CNC(C)C(=O)N3CCCCC3C
121,CC1CCCCC1NC(=O)CN(C)CC2COC3=CC=CC=C3O2
122,NC(=O)C1CCCCN1CC(=O)NCC=2C=CC=CC2F
123,CCN1CCCN(CC1=O)C(=O)NC(C)C=2C=CC=C(F)C2F
124,CC1=CN2N=C(NCC=3C=CC(=CC3)CN4C=NC=N4)SC2=N1
125,CC=1C=CC2=NC(=CC(=O)N2C1)CSC3=NN=C4CCCCCN34
126,CC=1C=CC(=CC1)C2=NOC(CN3CCN(CC3)C(=O)C4=CC=CN=C4)=N2
127,CN1CCCN(CC1=O)C(=O)NCCC2=CNC=3C=CC(Cl)=CC23
128,COC=1C=CC(=CC1)CN(C)C(=O)CSC2=NN=C(C)N2C
129,ClC=1C=CC(=CC1)CSC2=NN=C(C=3C=CC=NC3)N2CC4=CC=CO4
130,CC(C)(C)C=1C=C(NC(=O)CN2CCCC(CN3C=NC=N3)C2)ON1
131,CC(SC1=NN=C(O1)C=2C=CC=CC2F)C(=O)N3CCC4=CC=CC=C43
132,CC=1C=CC=CC1OCC(=O)NCC(C)N2CCN(C)CC2
133,CCC(C)NC(=O)CSC1=NNC(=O)N1CCC=2C=CC=CC2
134,CC1=CC(=NO1)NC(=O)N2CCCC2C=3C=CC=CC3Cl
135,O=C(C=1C=CC(=CC1)C=2C=CC=CC2)N3CCN(CC3)S(=O)(=O)C=4C=CC=C(F)C4
136,CN1N=CC2=C1CCCC2NC(=O)CC=3C=CC(=CC3)OC(F)(F)F
137,O=C(CN1N=CC(Cl)=C(Cl)C1=O)N2CCN(CC=3C=CC=CC3)CC2
138,O=C(NCCN1CCOCC1)C(OC2CCCC2)C=3C=CC=CC3
139,CC(=O)NC=1C=CC(=CC1)OCC=2C=CC=CC2C
140,O=C(CNC(=O)CC12CC3CC(CC(C3)C2)C1)NCCN4CCS(=O)(=O)CC4
141,O=C(CN1C(=NC=2C=CC=CC21)NCC=3C=CC=CC3)NC4CCCC4
142,C=CCN(CC(=O)NC=1C=CC=CC1C)S(=O)(=O)C=2C=CC(C)=CC2
143,COCC(=O)N1CCN(CC1)C(C)C2=NC=C(O2)C=3C=CC=CC3
144,ClC=1C=CC=C(C1)OCCOC=2C=CC(=CC2)C3=NN=CO3
145,CNC(=O)C=1C=CC(=CC1)S(=O)(=O)N2CCC=3SC=CC3C2C
146,CCN(CC)CCNC(=O)C=1C=CC(=CC1)NC(=O)C2=CC=C(C)O2
147,CN(CC=1N=CC=C(N)N1)C2CCN(C2)C(=O)C3=CC4=C(F)C=CC=C4N3
148,CC1=CC(CC(C)NC(=O)C=2C=CC(C)=CC2)=NN1
149,COC=1C=CC(=CC1OC)CNC(=O)CC2=CC=C3C=CC=CC3=C2
150,CC=1C=C(C(=O)N(CCC#N)CC=2C=NC=CC2)C=3C=CC(F)=CC3N1
151,CC=1C=C(C)N(N1)C=2C=CC(=CC2)C(=O)NC=3C=CC(C)=CC3F
152,CC(=O)NCCC(=O)NC=1C=CC=CC1C=2C=CC=CC2
153,CSC1=NN2C(C)=C(CC(=O)NC3CCC=4C=CC=CC43)C(C)=NC2=N1
154,CCC1CN(CC1N2CCOCC2)C(=O)C=3C=NC4=NNC(C)=C4C3
155,CC1=NN(C)C(=C1CNCC2=CC=C(C)N=C2)N3CCOCC3
156,O=C(CN1CCN2C(=NN=C2C1)C3CC3)N4CCOCC4
157,COC=1C=CC(=CC1NC(=O)C=2C=C(C=C(C2)NC(C)=O)NC(C)=O)C(C)(C)C
158,CC1=CC(C)=NC2=C(C=NN12)C3=NOC(CCC4CCNC4)=N3
159,COC=1C=CC=C(C1)NC(=O)CN(C)C(=O)C=2C=CC=C(F)C2
160,O=C(CCN1C(=O)C=2C=CC=CC2C1=O)N3CCN(CC3)C(=O)C=4C=CC=CC4
161,O=C(NCCN1CCOCC1)NCC=2C=NN(C2)C=3C=CC=CC3
162,C#CCNC(=O)NCCNC(=O)C=1C=CC(C)=C(F)C1
163,O=C(NC1CCOCC1)NC2CCSC=3C=CC=CC32
164,COC=1C=CC(=CC1OC)CNC(=O)N(C)CC2=NN=C3CCCN23
165,O=C(C=1C=NC=2C=CC=CC2N1)N3CC(O)CC3C4=CC=CC(F)=C4
166,O=C(C1CCC2CCCCC2C1)N3CCN4C(=O)NCC4C3
167,CC(NCC1=CN=C(S1)C2CCCO2)C=3C=CC=C(Br)C3
168,CC=1C=CC(=CC1)C=2SC(=NC2CC(=O)NC(C)C)C=3C=CC=CC3
169,O=C(CCC1=NC=2C=CC=CC2C(=O)N1)NC=3C=CC(=CC3)OCC=4C=CC=CC4
170,COC=1C=CC(Cl)=CC1C(=O)NC=2C=CC=3OCCOC3C2
171,O=C(C=1C=2C=CC=CC2N=C3CCCCC13)N4CCCCCC4
172,CCC(C)NC(=O)C=1C=CC(=CC1)CNC(=O)C=2C=CC(=O)NN2
173,CCN(CC)CC=1C=CC(=CC1)CNC(=O)N2CCC2
174,COC=1C=CC(=CC1C(=O)N2CCCC2)S(=O)(=O)N3CCCCCC3
175,COC=1C=CC(=CC1NC(=O)C=2C=CC=C(Cl)C2)S(=O)(=O)N3CCOCC3
176,O=C(NC1=NC=2C(F)=CC(F)=CC2S1)C3COC=4C=CC=CC4O3
177,CC=1C=C(C)C(NC(=O)CNC(=O)C=2C=CC(=CC2)OC(F)F)=C(C)C1
178,CS(=O)(=O)C=1C=CC=2N=C(NC(=O)COC=3C=CC=C(Br)C3)SC2C1
179,O=C(NC=1C=CC=CC1F)C=2C=CC(=CC2)S(=O)(=O)N3CCCCCC3
180,CC=1C=CC(=CC1C)C2=NN(C=C2C(=O)N3CCC(CC3)C(=O)N4CCCCCC4)CC=5C=CC=CC5
181,O=C(NCC=1C=CC(Cl)=CC1)C=2C=C(C=CN2)N3CCCC3
182,CC(NC(=O)NCCC=1C=CC=CN1)C=2C=CC(=CC2)NC(N)=O
183,CNC(=O)C=1C=CC=C(C1)NC(=O)CCNS(=O)(=O)C=2C=CC=CC2
184,CNC(=O)C(C)NC(=O)C=1C=CC(=CC1)CSC
185,CCCCN1C(=O)C=2C=CC(=CC2C1=O)C(=O)NC3=NC(=CS3)C=4C=CC=CN4
186,CC1=CC(C)=C(C)C(=C1C)S(=O)(=O)N2CCN(CC2)C(=O)C=3C=CC(=O)NN3
187,CCC=1C=CC(=CC1CC)S(=O)(=O)N2CCOC(C2)C=3C=NN(C)C3
188,O=C(NC=1C=CC(Br)=CC1Cl)C2=CC(=O)C=3C=CC=CC3O2
189,CC1=NC(=NO1)C(C)(C)NC(=O)C2=NN(C=C2O)C3=CC=CC(F)=C3
190,O=C(CCN1C(=O)C=2C=CC=CC2C1=O)NC=3C=CC=C(C3)S(=O)(=O)N4CCCCC4
191,CCN(CC(=O)NC(C)(C)C)C(=O)C=1C=CC(=O)N(CC=2C=CC=CC2)N1
192,CC(=O)NC(CC(=O)N1CCC=2C=CC=CC21)C=3C=CC=CC3
193,CN(CC(=O)N(CC1=CC=CS1)C=2C=CC=3OCCOC3C2)C4(CCCC4)C(N)=O
194,CC=1N=CSC1C(=O)NCCNC(=O)C2CCCCC2
195,CC(=O)NC(CC(=O)NC=1C=CC(F)=C(F)C1F)C=2C=CC=CC2
196,O=C(CC=1C=CC(Cl)=CC1)NC=2C=CC=CC2C3=NC=4C=CC=CC4N3
197,CCCN1N=C(C=CC1=O)C(=O)N(CC=2C=CC=C(F)C2)CC3CCCO3
198,O=C(NC=1C=CC(Cl)=CC1F)C2CCN(CC2)C(=O)C3CC3
199,COC=1C=CC(=CC1)NC(=O)CN2CCN(CC2)C=3C=CC(F)=CC3
200,CC=1C=CC(=CC1)N2N=NN=C2NCC3CCCOC3
201,COC=1C=CC=CC1OC=2N=CN=C3SC=C(C=4C=CC=CC4)C23
202,COC=1C=CC(=CC1OC)CC(=O)N2CCC(CC2)C3=NC(C)=NO3
203,CC1CN(CC(C)O1)C(=O)CN2C=CC(=N2)C(F)(F)F
204,CC(=O)N1CCN(CC1)C(=O)C=2C=CC=C(C2)S(=O)(=O)NC=3C=CC(F)=CC3
205,CCOC(=O)C1(CCCCC1)NC(=O)C2=CC=C(C)S2
206,CCOC=1C=CC=C(C1)C(=O)N2CCC(CC2)C(=O)N3CCCC(C)C3
207,CCC(C(=O)OC)C(=O)N1CCC(C1)N2CCCC2
208,COCCN(CC(=O)N(C)C)C(=O)C1(CC1)C=2C=C(C)C=C(C)C2
209,O=C(NC=1C=CC(=NC1)OC=2C=CC(F)=CC2)N3CCCCC3CO
210,CC(NC(=O)CNC(=O)C1=CC=CS1)C=2C=CC=C(C2)C(F)(F)F
211,CC=1SC=2N=C(CC=3C=CC(C)=NC3)NC(=O)C2C1C=4C=CC(F)=CC4
212,COC=1C=CC(Cl)=CC1NC(=O)CN(C)CC2=NC=3C=C(Cl)C=CC3C(=O)N2
213,CC(=O)NC=1C=CC(=CC1)NC(=O)C(C)N2CC(C)CC(C)C2
214,CCC=1C=CC=2C(=CC(=O)OC2C1)CN3CCC(CC3)C(=O)OC
215,CN1C=C(C(=O)NC=2C=NN(C2)C=3C=CC=CC3F)C(=N1)C=4C=CC=CC4Cl
216,COC=1C=CC=C(C1)CN2CCC(CC2)NC(=O)C3=CC=CN3C
217,Cl.CC1=NN(C(C)=C1Br)C=2C=CC(=CC2)C(=O)N3CCC(C3)C(=O)O
218,CC1CC(C)CN(C1)S(=O)(=O)C=2C=CC=C(C2)C(F)(F)F
219,CCOC=1C=CC(=CC1)S(=O)(=O)N2CCN(CC2)C=3C=CC=CC3
220,CC=1C=CC(=CC1)S(=O)(=O)NC=2C=CC=3OCCOC3C2
221,COC=1C=CC(OC)=C(C1)S(=O)(=O)NC=2C=CC(C)=C(C)C2
222,COC=1C=CC(=CC1NC(C)=O)S(=O)(=O)NC=2C=CC(C)=CC2Cl
223,CC1=NOC(C)=C1NC(=O)CC(C=2C=CC=CC2)C=3C=CC=CC3
224,ClC=1C=CC=C(C1)N2CCN(CC3=NN=C(O3)C4=CC=CO4)CC2
225,COC(=O)C1CCN(CC1)C(C)C2=NC=3C=CC=CC3C(=O)N2
226,O=C(CN1CCN(CC1)C(=O)C=2C=CC=CC2)NC3CCS(=O)(=O)C3
227,CC(C(=O)NC=1C=CC(=CC1)C(N)=O)N2CC=3C=CC=CC3C(C)C2
228,CN(C=1C=CC(=CC1)C(N)=O)S(=O)(=O)C=2C=CC(=CC2)CCC(=O)O
229,CC(NCC1=CSC(=N1)C=2C=CC=3OCOC3C2)C4=CC=CN=C4
230,COCC(O)CN(C)S(=O)(=O)C=1C=CC(=CC1C)N2CCCC2=O
231,CCNC(=O)C=1C=CC(C)=C(C1)NCC(=O)NC2=CC=C(F)C(F)=C2
