,SMILES
66,CC=1C=C2N=C(C=3C=CC=CC3N2N1)N4CC5(C4)CC(O)CNC5=O
67,O=C(NC=1C=CC(=CC1)C=2C=NC=NC2)[C@H]3C[C@H]4[C@@H](C3)C4(F)F
68,"COC(=O)[C@@H]1CN(C[C@H]1C2=CN=CN2C)C=3N=CN=C4C=CSC34 |&1:4,8,r|"
69,COC(=O)C1=NN(C)C(C)=C1NS(=O)(=O)C=2C=NC=C(F)C2
70,CCN(CC1=NC=2CCC(C)CC2S1)C(=O)C3=NOC=C3C
71,O=C(C=1N=NC=2C=CC=CC2N1)N3CCOC(CC3)C=4C=CC=CC4
72,CC1=NN(C)C(=O)C(C(=O)N2CCOC(CC2)C=3C=CC=CC3)=C1C
73,CC1=CC=CN2C(=CN=C12)CC(=O)N3CCC(=O)N4CCCCCC34
74,"O=C(O)[C@@]12CCC[C@H]2CC(C1)NCC=3N=CN(CC=4C=CC=C(F)C4)N3 |&1:3,7,r|"
75,Cl.Cl.N[C@@H](CCC=1C=CC=CC1)C(=O)N2CCC[C@@H](N)C2
76,COC=1C(C)=CC=CC1CNC(=O)NC2CCOCC32CCCC3
77,COCC(NC(=O)N1CCC[C@H]1C(F)F)C2CCOCC2
78,O=C(NCC1=NC(=CS1)C=2C=CN=CC2)N3CCC[C@H]3C(F)F
79,"C[C@@]12CN(C[C@H]2CS(=O)(=O)C1)C(=O)NCCC3CC=CC3 |&1:1,5,r|"
80,"CC=1N=C2C=CC=CN2C1CNC(=O)[C@@]34CNC[C@H]4COC3 |&1:14,18,r|"
81,COC1(C)CCCN(CC1)C(=O)C=2N=CC=CC2NCC3CCC3
82,N#CC=1C=CC=2CC(CC2C1)NC(=O)C3=CN=C(NC3=O)C4CCC4
83,COC=1C=C(C=CC1Cl)S(=O)(=O)N2CCN(CC2)C=3C=CC(C)=CC3
84,CCOC=1C=C(C)C(=CC1C)S(=O)(=O)NC=2C=CC(=CC2)NC(C)=O
85,COC=1C=CC(=CC1OC)CCN2C(=O)NCC(C)(C)C2=O
86,"C#CC=1C=CC(=NC1)C2=NN=C(N2)[C@@H]3CCO[C@H]3C=4C=CC=CC4 |&1:13,17,r|"
87,CC=1N=C(C=CC1C#N)C(=O)NCC2(CO)COCCN2C
88,O=C(C=1C(Cl)=CC=C2C=NNC12)N3CCC4(CC4(F)F)CC3
89,CC=1C=NN(C)C1S(=O)(=O)N(C)CCNC=2C=CC=CN2
90,CC(C)N1CCC(NS(=O)(=O)CC2OCCC2(C)C)C1=O
91,"COCC1CCCN(CC1)C(=O)[C@@H]2CO[C@H](CNC(=O)C=3C=CC=CC3O)C2 |&1:12,15,r|"
92,CC[C@H](C=1C=CC(F)=CC1)N2C=C(N=N2)C3CC4(C3)OCCO4
93,CCN1C=C(CS(=O)(=O)CC2=NC=3CCC(C)(C)CC3S2)N=N1
94,CC1=CSC=C1C(=O)NC2CC3(CN(C3)C(=O)C4=CC(F)=CN4)N5C=CN=C25
95,COC(C)(C)C1=NOC(CC2=CNC=3N=CC=C(Cl)C23)=N1
96,CCOC(=O)C(F)(F)C1(O)CCCN(CC1)C(=O)N(CC)CC
97,O=C(C1=CC=C2N=CC=NC2=C1)N3CCC(CC3)C4(N=N4)C(F)(F)F
98,CC(NC(=O)N1CCC(C1)C2CCCC2)C3=NN=C(N3)C(F)(F)F
99,CC1(C)C(C(=O)N2CCCC2C=3NN=NC3C(=O)O)C1(C)C
100,O=C(NCC1=CC=2C=CC=CC2N1)NCC=3C=CC=C(F)C3F
101,CN(C)C=1C=NC=C(C1)C2=NC(=NO2)C(C)(C)NC(=O)OC(C)(C)C
102,OC[C@@H]1COCCN1C=2C=C(N=CN2)C=3C=CC=C(Cl)C3
103,O=C(CCCC1=CC=CS1)NC2=NC=3CCNC(=O)C3S2
104,CC1CCCCN1C(=O)C=2C=CC(=CC2)NC(=O)C=3C=CC=C4N=CNC(=O)C34
105,CC=1N=C(C=CC1[N+]([O-])=O)N(C)CCN(C)C(=O)CCC2=NC=CN2
106,COCC1=NOC=C1CN2CCC(=O)N(CC3CCCC3(F)F)C2=O
107,CCOC(=O)CCNC(=O)NC=1C=CC(=C(F)C1)N2C=NN=N2
108,O=C(C=1C=CC(=CN1)CC=2C=CC=CC2)N3CCCC4(CCOCC4)C3
109,O=C(OCC=1C=CC=CC1)N2CCN(CC2)C(=O)C=3C=NC=C4N=C(NC34)C(F)(F)F
110,O=C1C=2N=NN(C2N=CN1CC=3C=CC=C(Cl)C3)C4CC4
111,O=C1NCCC1CCN2C=C(N=N2)C=3C=CC=4C=NC=CC4C3
112,CCC(C)(C)NC(=O)C(C)N1C=C(N=N1)C=2N=CC=CC2F
113,CC1(C)CCCN1C(=O)CN2C=C(N=N2)C3=CC=C(Cl)S3
114,CCN1N=CC=C1C2=CN(CC=3C=CC=CC3S(C)(=O)=O)N=N2
115,COC=1C=CC(=CC1)C2CCN(C2)C(=O)C3=CC4=C(C=CN4C)N3
116,C1=NC(=CN1)C(NCC2=NN=C3CCCCCN23)C=4C=CC=CC4
117,CC1=NC=CN1C=2C=CC(=CC2F)CNC(C)C3=CNC=N3
118,CCOC(=O)C=1N=NNC1C2CCCN2C(=O)C=3C=C4C=CC=CN4C3
119,CC=1C=CC=CC1N2C=C(C=N2)C(=O)NC3CC(Cl)(Cl)C3
120,CC(C(=O)N1CCCCC1CC=2N=NNN2)C3CCOCC3
121,O=C(CCC1=NC(=NO1)C=2C=CN=CC2)N3CCCCC3CC=4C=CC(O)=CC4
122,OC(CC1CCCO1)CN2CCN(CC2)C=3C=CC=CC3F
123,N#CC1=C(NC(=O)C=2C=CC=C(F)C2Cl)N(CCC=3C=CC=CC3)C=4N=C5C=CC=CC5=NC14
124,O=C(NC=1C=CC=CC1OCCN2CCNCC2)C3=CC=C4C(=O)NCCC4=C3
125,CC(NC=1N=CC=2COCCC2N1)C=3C=CC=C(C3)N4CCCC4
126,CC=1C=C(C)C=2N=CC(C#N)=C(C2C1)N3CCC(O)(C3)C4=CC=NN4
127,CC1=CON=C1CS(=O)(=O)N(C)C(C=2C=CC=CC2)C(F)(F)F
128,O=S(=O)(CC1=CC=NO1)NC(C=2C=CC(Cl)=CC2)C3CCC3
129,CC(C)CNC(=O)CN1CCOC2(CCS(=O)(CC2)=NC=3C=CC=CC3)C1
130,CC1=CC=C(CN(CCO)C(=O)C2C3CC2(CC3)C4=CC=NN4C5CCC5)O1
131,CC=1N=C(O)N(N1)C2CCN(CC2)C(=O)C3C4CC3(CC4)C5=CC=NN5C
132,CCN=S1(=O)CCC2(CC1)CN(CCO2)C(=O)C3CN(C3)C4CCOCC4
133,O=C(NC1=CN(N=N1)C=2C=CC=CC2)C=3C=CC(Cl)=CC3F
