num_molecules,num_reactions,num_unique_building_blocks,last_reaction_id,num_building_blocks_last_rxn,MolWt,MolLogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,FractionCSP3,HeavyAtomCount,Property Score
1,0,1,-1,-1,163.22400000000002,0.9435999999999998,1,3,37.81,1,0.5555555555555556,12,-98.03599548339844
1,0,1,-1,-1,175.27500000000003,2.3849,1,1,26.02,2,0.5,13,-83.11835479736328
1,0,1,-1,-1,192.21799999999996,1.0372,2,3,64.35,1,0.3,14,-97.61073303222656
1,0,1,-1,-1,155.172,1.72492,1,2,35.25,1,0.25,11,-88.03233337402344
1,0,1,-1,-1,239.227,0.7438999999999998,3,4,95.86,4,0.2727272727272727,17,-113.7344207763672
1,0,1,-1,-1,190.073,2.7128000000000014,1,1,12.03,2,0.25,11,-83.78324890136719
1,0,1,-1,-1,179.26299999999998,2.1111199999999997,1,2,35.25,4,0.45454545454545453,13,-85.00190734863281
1,0,1,-1,-1,257.1769999999999,3.743900000000002,1,1,26.02,1,0.4,17,-88.04631042480469
1,0,1,-1,-1,231.078,3.1815000000000015,1,1,37.3,2,0.3,14,-92.22518920898438
1,0,1,-1,-1,221.68699999999998,3.6754000000000024,0,2,22.12,2,0.25,15,-90.8723373413086
1,0,1,-1,-1,191.22999999999993,2.133,2,2,49.33,1,0.36363636363636365,14,-98.85590362548828
1,0,1,-1,-1,238.29,2.9138800000000007,1,3,59.03999999999999,4,0.13333333333333333,18,-108.11609649658205
1,0,1,-1,-1,217.35599999999997,3.397400000000002,1,1,12.03,2,0.6,16,-78.98112487792969
1,0,1,-1,-1,210.22899999999998,1.5364,3,3,77.76,3,0.36363636363636365,15,-105.0794906616211
1,0,1,-1,-1,145.202,0.6588000000000003,1,2,40.540000000000006,4,0.8571428571428571,10,-72.9427719116211
1,0,1,-1,-1,116.16399999999999,-0.7059999999999997,1,2,32.34,2,0.8,8,-74.56578063964844
1,0,1,-1,-1,251.07999999999998,0.37410000000000043,1,5,73.91000000000001,3,0.7142857142857143,13,-98.55740356445312
1,0,1,-1,-1,193.19299999999998,2.8807,1,2,26.02,1,0.14285714285714285,12,-89.27694702148438
